participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary	speech	Ntime
de04	mono	349.818	349.884	instrUktor	u	WSW	unfocused	NA	65	205	46	f	0	NA	NA
de04	mono	359.114	359.18	kOlibri	i	SWW	unfocused	NA	66	199	49	f	0	NA	NA
de05	mono	15.164	15.283	latErne	e	WSW	focused	NA	119	255	62	f	0	NA	NA
de05	mono	25.022	25.089	Ursula	u	SWW	focused	NA	67	224	57	f	0	NA	NA
de05	mono	29.846	29.976	melOne	o	WSW	focused	NA	130	250	62	f	0	NA	NA
de05	mono	34.855	35.004	parAbel	a	WSW	focused	NA	149	238	64	f	0	NA	NA
de05	mono	43.898	43.978	Ananas	a	SWW	focused	NA	79	246	62	f	0	NA	NA
de05	mono	53.4	53.477	alUmnus	u	WSW	focused	fail	77	233	62	f	0	NA	NA
de05	mono	58.976	59.041	lIbero	e	SWW	focused	NA	65	221	53	f	0	NA	NA
de05	mono	67.512	67.588	kOsovo	o	SWW	focused	NA	76	236	57	f	0	NA	NA
de05	mono	76.845	76.934	spIritus	i	SWW	focused	NA	88	241	52	f	0	NA	NA
de05	mono	81.491	81.589	kanInchen	i	WSW	focused	NA	98	279	61	f	0	NA	NA
de05	mono	97.928	97.98	kOsovo	o	SWW	unfocused	NA	52	229	55	f	0	NA	NA
de05	mono	103.583	103.626	Ursula	u	SWW	unfocused	NA	43	236	50	f	0	NA	NA
de05	mono	113.304	113.402	parAbel	a	WSW	unfocused	NA	98	211	62	f	0	NA	NA
de05	mono	122.7	122.77	Ananas	a	SWW	unfocused	NA	70	211	57	f	0	NA	NA
de05	mono	127.959	128.074	melOne	o	WSW	unfocused	NA	116	218	56	f	0	NA	NA
de05	mono	133.278	133.381	latErne	e	WSW	unfocused	NA	103	228	59	f	0	NA	NA
de05	mono	143.586	143.672	spIritus	i	SWW	unfocused	NA	86	229	58	f	0	NA	NA
de05	mono	148.479	148.539	lIbero	e	SWW	unfocused	NA	59	220	50	f	0	NA	NA
de05	mono	157.74	157.81	alUmnus	u	WSW	unfocused	NA	71	219	59	f	0	NA	NA
de05	mono	168.098	168.203	kanInchen	i	WSW	unfocused	NA	105	230	55	f	0	NA	NA
de05	mono	182.533	182.624	akUstik	u	WSW	focused	NA	91	295	56	f	0	NA	NA
de05	mono	191.427	191.484	stImulus	u	SWW	focused	NA	56	257	62	f	0	NA	NA
de05	mono	196.382	196.5	trompEte	e	WSW	focused	NA	118	274	56	f	0	NA	NA
de05	mono	205.11	205.253	panAde	a	WSW	focused	NA	143	232	62	f	0	NA	NA
de05	mono	210.097	210.14	kAviar	i	SWW	focused	NA	43	206	58	f	0	NA	NA
de05	mono	214.846	214.959	Abakus	a	SWW	focused	fail	113	248	60	f	0	NA	NA
de05	mono	224.851	224.943	zitrOne	o	WSW	focused	NA	92	264	56	f	0	NA	NA
de05	mono	233.96	234.084	pralIne	i	WSW	focused	NA	125	270	60	f	0	NA	NA
de05	mono	239.341	239.396	Oktopus	o	SWW	focused	NA	55	246	52	f	0	NA	NA
de05	mono	249.318	249.377	kAbeljau	e	SWW	focused	NA	59	228	63	f	0	NA	NA
de05	mono	263.846	263.965	trompEte	e	WSW	unfocused	NA	118	240	49	f	0	NA	NA
de05	mono	272.496	272.531	Oktopus	o	SWW	unfocused	NA	35	242	38	f	0	NA	NA
de05	mono	277.852	277.915	akUstik	u	WSW	unfocused	NA	63	237	51	f	0	NA	NA
de05	mono	288.353	288.426	Abakus	a	SWW	unfocused	NA	74	228	50	f	0	NA	NA
de05	mono	293.862	293.89	stImulus	u	SWW	unfocused	NA	28	219	54	f	0	NA	NA
de05	mono	302.996	303.103	panAde	a	WSW	unfocused	NA	106	214	58	f	0	NA	NA
de05	mono	308.005	308.032	kAviar	i	SWW	unfocused	NA	27	225	56	f	0	NA	NA
de05	mono	317.153	317.222	zitrOne	o	WSW	unfocused	NA	69	225	51	f	0	NA	NA
de05	mono	326.401	326.436	kAbeljau	e	SWW	unfocused	NA	36	223	54	f	0	NA	NA
de05	mono	331.235	331.323	pralIne	i	WSW	unfocused	NA	88	221	56	f	0	NA	NA
