participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	185.279908432167	200	-1.004069079447739	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	178.312208265893	205	-1.1997065104524407	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	177.925272264022	210	-1.2105708076470416	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	177.673551177672	215	-1.2176385725462249	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	175.990054030673	220	-1.2649074057455665	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	176.404116383966	225	-1.253281461296048	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	175.044681109078	230	-1.2914513621886805	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	168.957225309884	235	-1.4623735008411889	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	177.500745680415	240	-1.22249056427091	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	178.217071323397	245	-1.202377742936532	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	190.661561797501	250	-0.8529642939622906	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	223.550060558778	5	0.07047116590455788	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	237.87853189359	10	0.47278258219303226	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	255.754016613376	15	0.9746861981766726	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	251.916803646239	20	0.8669458435124088	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	256.379272160787	25	0.9922419749893744	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	262.322715955783	30	1.1591205787791867	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	267.892673865857	35	1.3155125345647796	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	267.857783121753	40	1.3145328805355516	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	260.845693246109	45	1.117649085810117	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	256.690003710154	50	1.0009666216589468	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	249.072604775161	55	0.7870871028769424	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	251.404160671644	60	0.8525519757828786	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	257.518621323417	65	1.024232350274636	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	267.982996898256	70	1.3180486032240806	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	278.572467729279	75	1.615377251076679	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	287.033029946174	80	1.8529309083050012	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	281.813631365637	125	1.7063818741447252	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	264.679606022776	130	1.225296778509891	like_de
